,time,step,irradiation
0,6/7/2022 0:00,1,0.0
1,6/7/2022 1:00,2,0.0
2,6/7/2022 2:00,3,0.0
3,6/7/2022 3:00,4,0.0
4,6/7/2022 4:00,5,0.0
5,6/7/2022 5:00,6,19.1
6,6/7/2022 6:00,7,145.98
7,6/7/2022 7:00,8,330.5
8,6/7/2022 8:00,9,539.28
9,6/7/2022 9:00,10,729.38
10,6/7/2022 10:00,11,866.17
11,6/7/2022 11:00,12,943.12
12,6/7/2022 12:00,13,982.35
13,6/7/2022 13:00,14,925.88
14,6/7/2022 14:00,15,838.15
15,6/7/2022 15:00,16,684.95
16,6/7/2022 16:00,17,480.4
17,6/7/2022 17:00,18,279.95
18,6/7/2022 18:00,19,101.95
19,6/7/2022 19:00,20,5.88
20,6/7/2022 20:00,21,0.0
21,6/7/2022 21:00,22,0.0
22,6/7/2022 22:00,23,0.0
23,6/7/2022 23:00,24,0.0
24,6/8/2022 0:00,25,0.0
25,6/8/2022 1:00,26,0.0
26,6/8/2022 2:00,27,0.0
27,6/8/2022 3:00,28,0.0
28,6/8/2022 4:00,29,0.0
29,6/8/2022 5:00,30,21.98
30,6/8/2022 6:00,31,178.55
31,6/8/2022 7:00,32,385.35
32,6/8/2022 8:00,33,591.67
33,6/8/2022 9:00,34,772.8
34,6/8/2022 10:00,35,912.88
35,6/8/2022 11:00,36,992.03
36,6/8/2022 12:00,37,1017.6
37,6/8/2022 13:00,38,982.5
38,6/8/2022 14:00,39,882.88
39,6/8/2022 15:00,40,732.53
40,6/8/2022 16:00,41,544.67
41,6/8/2022 17:00,42,334.52
42,6/8/2022 18:00,43,130.55
43,6/8/2022 19:00,44,7.05
44,6/8/2022 20:00,45,0.0
45,6/8/2022 21:00,46,0.0
46,6/8/2022 22:00,47,0.0
47,6/8/2022 23:00,48,0.0
48,6/9/2022 0:00,49,0.0
49,6/9/2022 1:00,50,0.0
50,6/9/2022 2:00,51,0.0
51,6/9/2022 3:00,52,0.0
52,6/9/2022 4:00,53,0.0
53,6/9/2022 5:00,54,23.5
54,6/9/2022 6:00,55,186.88
55,6/9/2022 7:00,56,396.45
56,6/9/2022 8:00,57,603.6
57,6/9/2022 9:00,58,782.72
58,6/9/2022 10:00,59,920.95
59,6/9/2022 11:00,60,995.88
60,6/9/2022 12:00,61,1008.17
61,6/9/2022 13:00,62,962.72
62,6/9/2022 14:00,63,866.75
63,6/9/2022 15:00,64,719.3
64,6/9/2022 16:00,65,529.17
65,6/9/2022 17:00,66,316.92
66,6/9/2022 18:00,67,113.97
67,6/9/2022 19:00,68,6.5
