time,step,ALLSKY_SFC_SW_DWN
6/7/2022 0:00,1.0,0.0
6/7/2022 1:00,2.0,0.0
6/7/2022 2:00,3.0,0.0
6/7/2022 3:00,4.0,0.0
6/7/2022 4:00,5.0,0.0
6/7/2022 5:00,6.0,19.1
6/7/2022 6:00,7.0,145.98
6/7/2022 7:00,8.0,330.5
6/7/2022 8:00,9.0,539.28
6/7/2022 9:00,10.0,729.38
6/7/2022 10:00,11.0,866.17
6/7/2022 11:00,12.0,943.12
6/7/2022 12:00,13.0,982.35
6/7/2022 13:00,14.0,925.88
6/7/2022 14:00,15.0,838.15
6/7/2022 15:00,16.0,684.95
6/7/2022 16:00,17.0,480.4
6/7/2022 17:00,18.0,279.95
6/7/2022 18:00,19.0,101.95
6/7/2022 19:00,20.0,5.88
6/7/2022 20:00,21.0,0.0
6/7/2022 21:00,22.0,0.0
6/7/2022 22:00,23.0,0.0
6/7/2022 23:00,24.0,0.0
6/8/2022 0:00,1.0,0.0
6/8/2022 1:00,2.0,0.0
6/8/2022 2:00,3.0,0.0
6/8/2022 3:00,4.0,0.0
6/8/2022 4:00,5.0,0.0
6/8/2022 5:00,6.0,21.98
6/8/2022 6:00,7.0,178.55
6/8/2022 7:00,8.0,385.35
6/8/2022 8:00,9.0,591.67
6/8/2022 9:00,10.0,772.8
6/8/2022 10:00,11.0,912.88
6/8/2022 11:00,12.0,992.03
6/8/2022 12:00,13.0,1017.6
6/8/2022 13:00,14.0,982.5
6/8/2022 14:00,15.0,882.88
6/8/2022 15:00,16.0,732.53
6/8/2022 16:00,17.0,544.67
6/8/2022 17:00,18.0,334.52
6/8/2022 18:00,19.0,130.55
6/8/2022 19:00,20.0,7.05
6/8/2022 20:00,21.0,0.0
6/8/2022 21:00,22.0,0.0
6/8/2022 22:00,23.0,0.0
6/8/2022 23:00,24.0,0.0
6/9/2022 0:00,1.0,0.0
6/9/2022 1:00,2.0,0.0
6/9/2022 2:00,3.0,0.0
6/9/2022 3:00,4.0,0.0
6/9/2022 4:00,5.0,0.0
6/9/2022 5:00,6.0,23.5
6/9/2022 6:00,7.0,186.88
6/9/2022 7:00,8.0,396.45
6/9/2022 8:00,9.0,603.6
6/9/2022 9:00,10.0,782.72
6/9/2022 10:00,11.0,920.95
6/9/2022 11:00,12.0,995.88
6/9/2022 12:00,13.0,1008.17
6/9/2022 13:00,14.0,962.72
6/9/2022 14:00,15.0,866.75
6/9/2022 15:00,16.0,719.3
6/9/2022 16:00,17.0,529.17
6/9/2022 17:00,18.0,316.92
6/9/2022 18:00,19.0,113.97
6/9/2022 19:00,20.0,6.5
6/9/2022 20:00,21.0,0.0
6/9/2022 21:00,22.0,0.0
6/9/2022 22:00,23.0,0.0
6/9/2022 23:00,24.0,0.0
6/10/2022 0:00,1.0,0.0
6/10/2022 1:00,2.0,0.0
6/10/2022 2:00,3.0,0.0
6/10/2022 3:00,4.0,0.0
6/10/2022 4:00,5.0,0.0
6/10/2022 5:00,6.0,21.15
6/10/2022 6:00,7.0,169.25
6/10/2022 7:00,8.0,372.2
6/10/2022 8:00,9.0,574.9
6/10/2022 9:00,10.0,751.7
6/10/2022 10:00,11.0,886.83
6/10/2022 11:00,12.0,977.33
