time,step,wspd
6/7/2022 0:00,1.0,3.6
6/7/2022 1:00,2.0,7.6
6/7/2022 2:00,3.0,7.6
6/7/2022 3:00,4.0,3.6
6/7/2022 4:00,5.0,7.6
6/7/2022 5:00,6.0,9.4
6/7/2022 6:00,7.0,7.6
6/7/2022 7:00,8.0,5.4
6/7/2022 8:00,9.0,7.6
6/7/2022 9:00,10.0,7.6
6/7/2022 10:00,11.0,11.2
6/7/2022 11:00,12.0,14.8
6/7/2022 12:00,13.0,14.8
6/7/2022 13:00,14.0,16.6
6/7/2022 14:00,15.0,18.4
6/7/2022 15:00,16.0,14.8
6/7/2022 16:00,17.0,20.5
6/7/2022 17:00,18.0,20.5
6/7/2022 18:00,19.0,18.4
6/7/2022 19:00,20.0,22.3
6/7/2022 20:00,21.0,18.4
6/7/2022 21:00,22.0,18.4
6/7/2022 22:00,23.0,14.8
6/7/2022 23:00,24.0,11.2
6/8/2022 0:00,1.0,7.6
6/8/2022 1:00,2.0,7.6
6/8/2022 2:00,3.0,5.4
6/8/2022 3:00,4.0,3.6
6/8/2022 4:00,5.0,11.2
6/8/2022 5:00,6.0,7.6
6/8/2022 6:00,7.0,7.6
6/8/2022 7:00,8.0,1.8
6/8/2022 8:00,9.0,7.6
6/8/2022 9:00,10.0,3.6
6/8/2022 10:00,11.0,3.6
6/8/2022 11:00,12.0,7.6
6/8/2022 12:00,13.0,7.6
6/8/2022 13:00,14.0,20.5
6/8/2022 14:00,15.0,20.5
6/8/2022 15:00,16.0,18.4
6/8/2022 16:00,17.0,22.3
6/8/2022 17:00,18.0,25.9
6/8/2022 18:00,19.0,25.9
6/8/2022 19:00,20.0,18.4
6/8/2022 20:00,21.0,13.0
6/8/2022 21:00,22.0,11.2
6/8/2022 22:00,23.0,13.0
6/8/2022 23:00,24.0,11.2
6/9/2022 0:00,1.0,3.6
6/9/2022 1:00,2.0,7.6
6/9/2022 2:00,3.0,9.4
6/9/2022 3:00,4.0,11.2
6/9/2022 4:00,5.0,9.4
6/9/2022 5:00,6.0,7.6
6/9/2022 6:00,7.0,7.6
6/9/2022 7:00,8.0,5.4
6/9/2022 8:00,9.0,3.6
6/9/2022 9:00,10.0,5.4
6/9/2022 10:00,11.0,11.2
6/9/2022 11:00,12.0,11.2
6/9/2022 12:00,13.0,11.2
6/9/2022 13:00,14.0,11.2
6/9/2022 14:00,15.0,16.6
6/9/2022 15:00,16.0,14.8
6/9/2022 16:00,17.0,20.5
6/9/2022 17:00,18.0,20.5
6/9/2022 18:00,19.0,22.3
6/9/2022 19:00,20.0,18.4
6/9/2022 20:00,21.0,13.0
6/9/2022 21:00,22.0,14.8
6/9/2022 22:00,23.0,13.0
6/9/2022 23:00,24.0,3.6
6/10/2022 0:00,1.0,3.6
6/10/2022 1:00,2.0,9.4
6/10/2022 2:00,3.0,7.6
6/10/2022 3:00,4.0,11.2
6/10/2022 4:00,5.0,7.6
6/10/2022 5:00,6.0,9.4
6/10/2022 6:00,7.0,14.8
6/10/2022 7:00,8.0,14.8
6/10/2022 8:00,9.0,18.4
6/10/2022 9:00,10.0,16.6
6/10/2022 10:00,11.0,14.8
6/10/2022 11:00,12.0,14.8
6/10/2022 12:00,13.0,18.4
6/10/2022 13:00,14.0,14.8
6/10/2022 14:00,15.0,16.6
6/10/2022 15:00,16.0,18.4
6/10/2022 16:00,17.0,16.6
6/10/2022 17:00,18.0,11.2
6/10/2022 18:00,19.0,14.8
6/10/2022 19:00,20.0,46.4
6/10/2022 20:00,21.0,27.7
6/10/2022 21:00,22.0,29.5
6/10/2022 22:00,23.0,9.4
6/10/2022 23:00,24.0,7.6
6/11/2022 0:00,1.0,14.8
6/11/2022 1:00,2.0,9.4
6/11/2022 2:00,3.0,5.4
6/11/2022 3:00,4.0,3.6
6/11/2022 4:00,5.0,13.0
6/11/2022 5:00,6.0,13.0
6/11/2022 6:00,7.0,14.8
6/11/2022 7:00,8.0,14.8
6/11/2022 8:00,9.0,20.5
6/11/2022 9:00,10.0,24.1
6/11/2022 10:00,11.0,20.5
6/11/2022 11:00,12.0,24.1
6/11/2022 12:00,13.0,22.3
6/11/2022 13:00,14.0,22.3
6/11/2022 14:00,15.0,14.8
6/11/2022 15:00,16.0,38.9
6/11/2022 16:00,17.0,15.5
6/11/2022 17:00,18.0,20.5
6/11/2022 18:00,19.0,25.9
6/11/2022 19:00,20.0,18.4
6/11/2022 20:00,21.0,13.0
6/11/2022 21:00,22.0,18.4
6/11/2022 22:00,23.0,22.3
6/11/2022 23:00,24.0,22.3
6/12/2022 0:00,1.0,22.3
6/12/2022 1:00,2.0,25.9
6/12/2022 2:00,3.0,22.3
6/12/2022 3:00,4.0,22.3
6/12/2022 4:00,5.0,14.8
6/12/2022 5:00,6.0,13.0
6/12/2022 6:00,7.0,14.8
6/12/2022 7:00,8.0,11.2
6/12/2022 8:00,9.0,11.2
6/12/2022 9:00,10.0,11.2
6/12/2022 10:00,11.0,13.0
6/12/2022 11:00,12.0,16.6
6/12/2022 12:00,13.0,9.4
6/12/2022 13:00,14.0,14.8
6/12/2022 14:00,15.0,14.8
6/12/2022 15:00,16.0,18.4
6/12/2022 16:00,17.0,22.3
6/12/2022 17:00,18.0,18.4
6/12/2022 18:00,19.0,13.0
6/12/2022 19:00,20.0,20.5
6/12/2022 20:00,21.0,42.5
6/12/2022 21:00,22.0,46.4
6/12/2022 22:00,23.0,16.6
6/12/2022 23:00,24.0,20.5
6/13/2022 0:00,1.0,22.3
6/13/2022 1:00,2.0,37.1
6/13/2022 2:00,3.0,38.9
6/13/2022 3:00,4.0,38.9
6/13/2022 4:00,5.0,14.8
6/13/2022 5:00,6.0,7.6
6/13/2022 6:00,7.0,14.8
6/13/2022 7:00,8.0,9.4
6/13/2022 8:00,9.0,13.0
6/13/2022 9:00,10.0,13.0
6/13/2022 10:00,11.0,14.8
6/13/2022 11:00,12.0,20.5
6/13/2022 12:00,13.0,18.4
6/13/2022 13:00,14.0,9.4
6/13/2022 14:00,15.0,16.6
6/13/2022 15:00,16.0,7.6
