,time,step,wspd
0,6/7/2022 0:00,1,3.6
1,6/7/2022 1:00,2,7.6
2,6/7/2022 2:00,3,7.6
3,6/7/2022 3:00,4,3.6
4,6/7/2022 4:00,5,7.6
5,6/7/2022 5:00,6,9.4
6,6/7/2022 6:00,7,7.6
7,6/7/2022 7:00,8,5.4
8,6/7/2022 8:00,9,7.6
9,6/7/2022 9:00,10,7.6
10,6/7/2022 10:00,11,11.2
11,6/7/2022 11:00,12,14.8
12,6/7/2022 12:00,13,14.8
13,6/7/2022 13:00,14,16.6
14,6/7/2022 14:00,15,18.4
15,6/7/2022 15:00,16,14.8
16,6/7/2022 16:00,17,20.5
17,6/7/2022 17:00,18,20.5
18,6/7/2022 18:00,19,18.4
19,6/7/2022 19:00,20,22.3
20,6/7/2022 20:00,21,18.4
21,6/7/2022 21:00,22,18.4
22,6/7/2022 22:00,23,14.8
23,6/7/2022 23:00,24,11.2
24,6/8/2022 0:00,25,7.6
25,6/8/2022 1:00,26,7.6
26,6/8/2022 2:00,27,5.4
27,6/8/2022 3:00,28,3.6
28,6/8/2022 4:00,29,11.2
29,6/8/2022 5:00,30,7.6
30,6/8/2022 6:00,31,7.6
31,6/8/2022 7:00,32,1.8
32,6/8/2022 8:00,33,7.6
33,6/8/2022 9:00,34,3.6
34,6/8/2022 10:00,35,3.6
35,6/8/2022 11:00,36,7.6
36,6/8/2022 12:00,37,7.6
37,6/8/2022 13:00,38,20.5
38,6/8/2022 14:00,39,20.5
39,6/8/2022 15:00,40,18.4
40,6/8/2022 16:00,41,22.3
41,6/8/2022 17:00,42,25.9
42,6/8/2022 18:00,43,25.9
43,6/8/2022 19:00,44,18.4
44,6/8/2022 20:00,45,13.0
45,6/8/2022 21:00,46,11.2
46,6/8/2022 22:00,47,13.0
47,6/8/2022 23:00,48,11.2
48,6/9/2022 0:00,49,3.6
49,6/9/2022 1:00,50,7.6
50,6/9/2022 2:00,51,9.4
51,6/9/2022 3:00,52,11.2
52,6/9/2022 4:00,53,9.4
53,6/9/2022 5:00,54,7.6
54,6/9/2022 6:00,55,7.6
55,6/9/2022 7:00,56,5.4
56,6/9/2022 8:00,57,3.6
57,6/9/2022 9:00,58,5.4
58,6/9/2022 10:00,59,11.2
59,6/9/2022 11:00,60,11.2
60,6/9/2022 12:00,61,11.2
61,6/9/2022 13:00,62,11.2
62,6/9/2022 14:00,63,16.6
63,6/9/2022 15:00,64,14.8
64,6/9/2022 16:00,65,20.5
65,6/9/2022 17:00,66,20.5
66,6/9/2022 18:00,67,22.3
67,6/9/2022 19:00,68,18.4
68,6/9/2022 20:00,69,13.0
69,6/9/2022 21:00,70,14.8
70,6/9/2022 22:00,71,13.0
71,6/9/2022 23:00,72,3.6
72,6/10/2022 0:00,73,3.6
73,6/10/2022 1:00,74,9.4
74,6/10/2022 2:00,75,7.6
75,6/10/2022 3:00,76,11.2
76,6/10/2022 4:00,77,7.6
77,6/10/2022 5:00,78,9.4
78,6/10/2022 6:00,79,14.8
79,6/10/2022 7:00,80,14.8
80,6/10/2022 8:00,81,18.4
81,6/10/2022 9:00,82,16.6
82,6/10/2022 10:00,83,14.8
83,6/10/2022 11:00,84,14.8
84,6/10/2022 12:00,85,18.4
85,6/10/2022 13:00,86,14.8
86,6/10/2022 14:00,87,16.6
87,6/10/2022 15:00,88,18.4
88,6/10/2022 16:00,89,16.6
89,6/10/2022 17:00,90,11.2
90,6/10/2022 18:00,91,14.8
91,6/10/2022 19:00,92,46.4
92,6/10/2022 20:00,93,27.7
93,6/10/2022 21:00,94,29.5
94,6/10/2022 22:00,95,9.4
95,6/10/2022 23:00,96,7.6
96,6/11/2022 0:00,97,14.8
97,6/11/2022 1:00,98,9.4
98,6/11/2022 2:00,99,5.4
99,6/11/2022 3:00,100,3.6
100,6/11/2022 4:00,101,13.0
101,6/11/2022 5:00,102,13.0
102,6/11/2022 6:00,103,14.8
103,6/11/2022 7:00,104,14.8
104,6/11/2022 8:00,105,20.5
105,6/11/2022 9:00,106,24.1
106,6/11/2022 10:00,107,20.5
107,6/11/2022 11:00,108,24.1
108,6/11/2022 12:00,109,22.3
109,6/11/2022 13:00,110,22.3
110,6/11/2022 14:00,111,14.8
111,6/11/2022 15:00,112,38.9
112,6/11/2022 16:00,113,15.5
113,6/11/2022 17:00,114,20.5
114,6/11/2022 18:00,115,25.9
115,6/11/2022 19:00,116,18.4
116,6/11/2022 20:00,117,13.0
117,6/11/2022 21:00,118,18.4
118,6/11/2022 22:00,119,22.3
119,6/11/2022 23:00,120,22.3
120,6/12/2022 0:00,121,22.3
121,6/12/2022 1:00,122,25.9
122,6/12/2022 2:00,123,22.3
123,6/12/2022 3:00,124,22.3
124,6/12/2022 4:00,125,14.8
125,6/12/2022 5:00,126,13.0
126,6/12/2022 6:00,127,14.8
127,6/12/2022 7:00,128,11.2
128,6/12/2022 8:00,129,11.2
129,6/12/2022 9:00,130,11.2
130,6/12/2022 10:00,131,13.0
131,6/12/2022 11:00,132,16.6
132,6/12/2022 12:00,133,9.4
133,6/12/2022 13:00,134,14.8
134,6/12/2022 14:00,135,14.8
135,6/12/2022 15:00,136,18.4
136,6/12/2022 16:00,137,22.3
137,6/12/2022 17:00,138,18.4
138,6/12/2022 18:00,139,13.0
139,6/12/2022 19:00,140,20.5
140,6/12/2022 20:00,141,42.5
141,6/12/2022 21:00,142,46.4
142,6/12/2022 22:00,143,16.6
143,6/12/2022 23:00,144,20.5
144,6/13/2022 0:00,145,22.3
145,6/13/2022 1:00,146,37.1
146,6/13/2022 2:00,147,38.9
147,6/13/2022 3:00,148,38.9
148,6/13/2022 4:00,149,14.8
149,6/13/2022 5:00,150,7.6
150,6/13/2022 6:00,151,14.8
151,6/13/2022 7:00,152,9.4
152,6/13/2022 8:00,153,13.0
153,6/13/2022 9:00,154,13.0
154,6/13/2022 10:00,155,14.8
155,6/13/2022 11:00,156,20.5
156,6/13/2022 12:00,157,18.4
157,6/13/2022 13:00,158,9.4
158,6/13/2022 14:00,159,16.6
159,6/13/2022 15:00,160,7.6
160,6/13/2022 16:00,161,16.6
161,6/13/2022 17:00,162,9.4
162,6/13/2022 18:00,163,29.5
163,6/13/2022 19:00,164,22.3
164,6/13/2022 20:00,165,13.0
165,6/13/2022 21:00,166,7.6
166,6/13/2022 22:00,167,5.4
167,6/13/2022 23:00,168,22.3
168,6/14/2022 0:00,169,18.4
169,6/14/2022 1:00,170,11.2
170,6/14/2022 2:00,171,11.2
171,6/14/2022 3:00,172,7.6
172,6/14/2022 4:00,173,5.4
173,6/14/2022 5:00,174,1.8
174,6/14/2022 6:00,175,11.2
175,6/14/2022 7:00,176,1.8
176,6/14/2022 8:00,177,14.8
177,6/14/2022 9:00,178,11.2
178,6/14/2022 10:00,179,11.2
179,6/14/2022 11:00,180,16.6
180,6/14/2022 12:00,181,14.8
181,6/14/2022 13:00,182,11.2
182,6/14/2022 14:00,183,18.4
183,6/14/2022 15:00,184,18.4
184,6/14/2022 16:00,185,27.7
185,6/14/2022 17:00,186,22.3
186,6/14/2022 18:00,187,22.3
187,6/14/2022 19:00,188,50.0
188,6/14/2022 20:00,189,42.5
189,6/14/2022 21:00,190,38.9
190,6/14/2022 22:00,191,35.3
191,6/14/2022 23:00,192,22.3
192,6/15/2022 0:00,193,22.3
193,6/15/2022 1:00,194,24.1
194,6/15/2022 2:00,195,24.1
195,6/15/2022 3:00,196,16.6
196,6/15/2022 4:00,197,9.4
197,6/15/2022 5:00,198,16.6
198,6/15/2022 6:00,199,14.8
199,6/15/2022 7:00,200,7.6
200,6/15/2022 8:00,201,14.8
201,6/15/2022 9:00,202,14.8
202,6/15/2022 10:00,203,24.1
203,6/15/2022 11:00,204,20.5
204,6/15/2022 12:00,205,14.8
205,6/15/2022 13:00,206,14.8
206,6/15/2022 14:00,207,22.3
207,6/15/2022 15:00,208,25.9
208,6/15/2022 16:00,209,29.5
209,6/15/2022 17:00,210,16.6
210,6/15/2022 18:00,211,24.1
211,6/15/2022 19:00,212,35.3
212,6/15/2022 20:00,213,14.8
213,6/15/2022 21:00,214,20.5
214,6/15/2022 22:00,215,16.7
215,6/15/2022 23:00,216,13.0
216,6/16/2022 0:00,217,16.6
217,6/16/2022 1:00,218,7.6
218,6/16/2022 2:00,219,5.4
219,6/16/2022 3:00,220,7.6
220,6/16/2022 4:00,221,7.6
221,6/16/2022 5:00,222,9.4
222,6/16/2022 6:00,223,3.6
223,6/16/2022 7:00,224,1.8
224,6/16/2022 8:00,225,5.4
225,6/16/2022 9:00,226,11.2
226,6/16/2022 10:00,227,7.6
227,6/16/2022 11:00,228,9.4
228,6/16/2022 12:00,229,11.2
229,6/16/2022 13:00,230,16.6
230,6/16/2022 14:00,231,16.6
231,6/16/2022 15:00,232,22.3
232,6/16/2022 16:00,233,27.7
233,6/16/2022 17:00,234,22.3
234,6/16/2022 18:00,235,22.3
235,6/16/2022 19:00,236,14.8
236,6/16/2022 20:00,237,20.5
237,6/16/2022 21:00,238,14.8
238,6/16/2022 22:00,239,9.4
239,6/16/2022 23:00,240,7.6
240,6/17/2022 0:00,241,11.1
241,6/17/2022 1:00,242,7.4
242,6/17/2022 2:00,243,5.5
243,6/17/2022 3:00,244,3.7
244,6/17/2022 4:00,245,3.7
245,6/17/2022 5:00,246,5.4
246,6/17/2022 6:00,247,3.6
247,6/17/2022 7:00,248,3.6
248,6/17/2022 8:00,249,5.4
249,6/17/2022 9:00,250,11.2
250,6/17/2022 10:00,251,11.2
251,6/17/2022 11:00,252,9.4
252,6/17/2022 12:00,253,11.2
253,6/17/2022 13:00,254,14.8
254,6/17/2022 14:00,255,16.6
255,6/17/2022 15:00,256,18.4
256,6/17/2022 16:00,257,18.4
257,6/17/2022 17:00,258,25.9
258,6/17/2022 18:00,259,25.9
259,6/17/2022 19:00,260,11.2
260,6/17/2022 20:00,261,14.8
261,6/17/2022 21:00,262,24.1
262,6/17/2022 22:00,263,13.0
263,6/17/2022 23:00,264,7.6
264,6/18/2022 0:00,265,13.0
265,6/18/2022 1:00,266,13.0
266,6/18/2022 2:00,267,9.4
267,6/18/2022 3:00,268,3.6
268,6/18/2022 4:00,269,3.6
269,6/18/2022 5:00,270,3.6
270,6/18/2022 6:00,271,3.6
271,6/18/2022 7:00,272,5.4
272,6/18/2022 8:00,273,3.6
273,6/18/2022 9:00,274,3.6
274,6/18/2022 10:00,275,7.6
275,6/18/2022 11:00,276,7.6
276,6/18/2022 12:00,277,14.8
277,6/18/2022 13:00,278,11.2
278,6/18/2022 14:00,279,16.6
279,6/18/2022 15:00,280,18.4
280,6/18/2022 16:00,281,16.6
281,6/18/2022 17:00,282,20.5
282,6/18/2022 18:00,283,14.8
283,6/18/2022 19:00,284,16.6
284,6/18/2022 20:00,285,18.4
285,6/18/2022 21:00,286,18.4
286,6/18/2022 22:00,287,18.4
287,6/18/2022 23:00,288,7.6
288,6/19/2022 0:00,289,7.6
289,6/19/2022 1:00,290,3.6
290,6/19/2022 2:00,291,3.6
291,6/19/2022 3:00,292,3.6
292,6/19/2022 4:00,293,7.6
293,6/19/2022 5:00,294,3.6
294,6/19/2022 6:00,295,7.6
295,6/19/2022 7:00,296,3.6
296,6/19/2022 8:00,297,3.6
297,6/19/2022 9:00,298,3.6
298,6/19/2022 10:00,299,9.4
299,6/19/2022 11:00,300,9.4
300,6/19/2022 12:00,301,5.4
301,6/19/2022 13:00,302,18.4
302,6/19/2022 14:00,303,16.6
303,6/19/2022 15:00,304,18.4
304,6/19/2022 16:00,305,14.8
305,6/19/2022 17:00,306,22.3
306,6/19/2022 18:00,307,22.3
307,6/19/2022 19:00,308,20.5
308,6/19/2022 20:00,309,9.4
309,6/19/2022 21:00,310,11.2
310,6/19/2022 22:00,311,14.8
311,6/19/2022 23:00,312,11.2
312,6/20/2022 0:00,313,14.8
313,6/20/2022 1:00,314,9.4
314,6/20/2022 2:00,315,9.4
315,6/20/2022 3:00,316,7.6
316,6/20/2022 4:00,317,3.6
317,6/20/2022 5:00,318,3.6
318,6/20/2022 6:00,319,3.6
319,6/20/2022 7:00,320,5.4
320,6/20/2022 8:00,321,7.6
321,6/20/2022 9:00,322,11.2
322,6/20/2022 10:00,323,11.2
323,6/20/2022 11:00,324,13.0
324,6/20/2022 12:00,325,7.6
325,6/20/2022 13:00,326,14.8
326,6/20/2022 14:00,327,14.8
327,6/20/2022 15:00,328,14.8
328,6/20/2022 16:00,329,16.6
329,6/20/2022 17:00,330,16.6
330,6/20/2022 18:00,331,22.3
331,6/20/2022 19:00,332,22.3
332,6/20/2022 20:00,333,14.8
333,6/20/2022 21:00,334,17.0
334,6/20/2022 22:00,335,9.4
335,6/20/2022 23:00,336,7.6
336,6/21/2022 0:00,337,7.6
337,6/21/2022 1:00,338,11.2
338,6/21/2022 2:00,339,9.4
339,6/21/2022 3:00,340,7.6
340,6/21/2022 4:00,341,5.4
341,6/21/2022 5:00,342,13.0
342,6/21/2022 6:00,343,3.6
343,6/21/2022 7:00,344,13.0
344,6/21/2022 8:00,345,16.6
345,6/21/2022 9:00,346,18.4
346,6/21/2022 10:00,347,9.4
347,6/21/2022 11:00,348,14.8
348,6/21/2022 12:00,349,14.8
349,6/21/2022 13:00,350,18.4
350,6/21/2022 14:00,351,22.3
351,6/21/2022 15:00,352,22.3
352,6/21/2022 16:00,353,14.8
353,6/21/2022 17:00,354,20.5
354,6/21/2022 18:00,355,25.9
355,6/21/2022 19:00,356,25.9
356,6/21/2022 20:00,357,18.4
357,6/21/2022 21:00,358,18.4
358,6/21/2022 22:00,359,14.8
359,6/21/2022 23:00,360,13.0
360,6/22/2022 0:00,361,14.8
361,6/22/2022 1:00,362,9.4
362,6/22/2022 2:00,363,7.6
363,6/22/2022 3:00,364,11.2
364,6/22/2022 4:00,365,9.4
365,6/22/2022 5:00,366,9.4
366,6/22/2022 6:00,367,7.6
367,6/22/2022 7:00,368,3.6
368,6/22/2022 8:00,369,3.6
369,6/22/2022 9:00,370,3.6
370,6/22/2022 10:00,371,11.2
371,6/22/2022 11:00,372,13.0
372,6/22/2022 12:00,373,11.2
373,6/22/2022 13:00,374,11.2
374,6/22/2022 14:00,375,13.0
375,6/22/2022 15:00,376,11.2
376,6/22/2022 16:00,377,16.6
377,6/22/2022 17:00,378,22.3
378,6/22/2022 18:00,379,22.3
379,6/22/2022 19:00,380,18.4
380,6/22/2022 20:00,381,18.4
381,6/22/2022 21:00,382,18.4
382,6/22/2022 22:00,383,13.0
383,6/22/2022 23:00,384,13.0
384,6/23/2022 0:00,385,14.8
385,6/23/2022 1:00,386,3.6
386,6/23/2022 2:00,387,9.4
387,6/23/2022 3:00,388,1.8
388,6/23/2022 4:00,389,3.6
389,6/23/2022 5:00,390,5.4
390,6/23/2022 6:00,391,7.6
391,6/23/2022 7:00,392,3.6
392,6/23/2022 8:00,393,3.6
393,6/23/2022 9:00,394,7.6
394,6/23/2022 10:00,395,7.6
395,6/23/2022 11:00,396,11.2
396,6/23/2022 12:00,397,11.2
397,6/23/2022 13:00,398,13.0
398,6/23/2022 14:00,399,18.4
399,6/23/2022 15:00,400,18.4
400,6/23/2022 16:00,401,16.6
401,6/23/2022 17:00,402,18.4
402,6/23/2022 18:00,403,25.9
403,6/23/2022 19:00,404,25.9
404,6/23/2022 20:00,405,24.1
